timestamp,agent,signal,confidence,win_rate,rl_action,reward,is_weekend,session,low_liquidity,high_volatility,event_window
2025-05-01 12:35:00,TrendFinder,hold,0.1,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,VolumeSpike,hold,0.1,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,VolatilityCluster,avoid,1.7491,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,RSIRegime,hold,0.1,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,MACDDivergence,buy,0.2876,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,ADXStrength,avoid,0.3274,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,LiquidityMapper,avoid,0.0521,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,PnLClusterRebalancer,hold,0.1,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,CorrelationMonitor,hold,0.1,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,NewsSentiment,hold,0.5274,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,FundingRate,hold,0.242,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,WhaleWallet,sell,0.9537,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:35:00,TimeOfDay,hold,0.5,0.5,buy,-61.0,False,London,False,False,True
2025-05-01 12:30:00,TrendFinder,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,VolumeSpike,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,VolatilityCluster,avoid,1.4926,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,RSIRegime,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,MACDDivergence,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,ADXStrength,avoid,0.2961,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,LiquidityMapper,avoid,0.0558,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,PnLClusterRebalancer,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,CorrelationMonitor,hold,0.1,0.5,buy,133.10000000000582,False,London,True,False,True
2025-05-01 12:30:00,NewsSentiment,sell,0.8692,0.5,buy,133.10000000000582,False,London,True,False,True
