2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: MATICUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: MATICUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,652 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: LINKUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ADAUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,653 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:34,654 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BTCUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,372 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,372 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,372 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: BNBUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
2025-05-27 12:27:50,373 - ERROR - KLINE_FETCH_ERROR: 'HTTP' object has no attribute 'safe_api_call' | Symbol: ETHUSDT - /root/trading_bot/bot_loop.py:517
